"symbol","ensembl","log2FoldChange","padj","significance"
"NICOL1","ENSG00000243449",0.780785980693707,4.14177615714668e-10,"NS"
"CIT","ENSG00000122966",1.80220471275146,4.1732827303564e-10,"Up"
"HSP90B1","ENSG00000166598",0.999032678903391,5.21256622633661e-10,"NS"
"TAGAP","ENSG00000164691",-1.997210520698,5.51914843248314e-10,"Down"
"SPARC","ENSG00000113140",2.0046406381021,6.39659348831719e-10,"Up"
"ARHGAP25","ENSG00000163219",-0.602581501469951,7.14260531290932e-10,"NS"
"CMTM5","ENSG00000166091",2.12286462718751,7.24076787920685e-10,"Up"
"FBXO5","ENSG00000112029",1.16035753116893,7.64566739362927e-10,"Up"
"OST4","ENSG00000228474",0.453387191459174,7.66783960448635e-10,"NS"
"TGIF2","ENSG00000118707",-0.883006964525229,7.92826827544663e-10,"NS"
"CAV1","ENSG00000105974",2.9234666103179,8.41522604118582e-10,"Up"
"SCUBE1","ENSG00000159307",3.4013921092276,8.41522604118582e-10,"Up"
"ASXL2","ENSG00000143970",-0.443471808581326,8.86575793123207e-10,"NS"
"ZNF567","ENSG00000189042",-0.768216280885259,9.42230375794197e-10,"NS"
"IGLV6-57","ENSG00000211640",3.75423210648492,9.53436291718176e-10,"Up"
"PSMB6","ENSG00000142507",0.63538656552759,1.03685545064495e-09,"NS"
"IGHV4-61","ENSG00000211970",3.01475470891689,1.17967156110065e-09,"Up"
"ALOX5AP","ENSG00000132965",0.727715285468214,1.18172494098547e-09,"NS"
"ASF1B","ENSG00000105011",1.19265387161278,1.22705609074954e-09,"Up"
"H1-4","ENSG00000168298",1.43075810808772,1.29976332712791e-09,"Up"
"H2AJ","ENSG00000246705",0.987478839217765,1.30205100668186e-09,"NS"
"EIF2AK1","ENSG00000086232",0.504898109294727,1.31932660437245e-09,"NS"
"SH3BGRL3","ENSG00000142669",0.653394663618069,1.55098341952789e-09,"NS"
"SLC6A9","ENSG00000196517",2.87815174321796,1.58822510069872e-09,"Up"
"H2AC12","ENSG00000274997",2.32588533067321,1.62567469539654e-09,"Up"
"ZNF649","ENSG00000198093",-0.90473183108457,1.64656794085565e-09,"NS"
"IGHA2","ENSG00000211890",3.08065680891259,1.66011457203393e-09,"Up"
"ANXA3","ENSG00000138772",3.17850136694523,1.70571069602463e-09,"Up"
"SCN1B","ENSG00000105711",1.30889322634353,1.72323833489424e-09,"Up"
"TXN","ENSG00000136810",0.838741663809617,1.74510009921941e-09,"NS"
"CD38","ENSG00000004468",1.4667516227162,1.77614414953198e-09,"Up"
"SELP","ENSG00000174175",1.94224426901836,1.80495960529512e-09,"Up"
"TMEM208","ENSG00000168701",0.521037131366477,1.95333515318993e-09,"NS"
"TPM4","ENSG00000167460",0.842549229059058,2.16566724442315e-09,"NS"
"CELF1","ENSG00000149187",-0.425144708748818,2.20852823626752e-09,"NS"
"C1QA","ENSG00000173372",1.69594710370845,2.24949586061841e-09,"Up"
"WDR91","ENSG00000105875",-0.596023621103077,2.24949586061841e-09,"NS"
"CLPP","ENSG00000125656",0.493059438229078,2.49685103105637e-09,"NS"
"MAPK12","ENSG00000188130",1.58791704587304,2.49685103105637e-09,"Up"
"PDIA5","ENSG00000065485",1.0631955090582,2.53964707858397e-09,"Up"
"LAMC1","ENSG00000135862",1.54215528551121,2.54495389417848e-09,"Up"
"COX6A1","ENSG00000111775",0.574010954494198,2.63194182714038e-09,"NS"
"FBXO30","ENSG00000118496",-1.14030628974164,2.66113753188903e-09,"Down"
"STRIP2","ENSG00000128578",1.71322265916655,2.70544119380649e-09,"Up"
"SDF2L1","ENSG00000128228",1.04891401364497,2.79700758987134e-09,"Up"
"SRM","ENSG00000116649",0.557082966690254,2.87667489914759e-09,"NS"
"H1-10","ENSG00000184897",0.817545463618193,2.88392452034755e-09,"NS"
"H4C8","ENSG00000158406",1.83239252782966,3.17210635350351e-09,"Up"
"MND1","ENSG00000121211",3.11583589275455,3.22374359084302e-09,"Up"
"ZDHHC12","ENSG00000160446",0.749216011089223,3.29642489452579e-09,"NS"
"SH3TC2","ENSG00000169247",1.58207876202012,3.32385848836116e-09,"Up"
"H2BC8","ENSG00000273802",1.59308070251352,3.32385848836116e-09,"Up"
